error1,error2,error3,error4
0.295238469,0.161260341,0.043348189,0.043348189
0.158109798,0.110376432,0.014995998,0.014995998
0.099477758,0.067101388,0.002030267,0.002030267
0.004480124,0.059256992,0.026219852,0.026219852
0.061174983,0.112722319,0.021360997,0.021360997
0.054105913,0.063578673,0.002496578,0.002496578
0.063592695,0.054805141,0.006959651,0.006959651
0.072501969,0.044694904,0.005710699,0.005710699
0.008486624,0.070407333,0.015256024,0.015256024
0.007913659,0.043395991,0.012624919,0.012624919
0.000167085,0.031824402,0.012536175,0.012536175
0.060709376,0.015064436,0.013878044,0.013878044
0.043037075,0.001303129,0.001111157,0.001111157
0.064089402,0.002509828,0.006996124,0.006996124
0.100505559,0.004215576,0.005466169,0.005466169
0.123451814,0.002024048,0.009166099,0.009166099
0.103957154,0.015497176,0.008545778,0.008545778
0.048970832,0.032999575,0.020703168,0.020703168
0.097542031,0.013678796,0.009717648,0.009717648
0.108547655,0.008621348,0.010183946,0.010183946
0.109048947,0.00586457,0.008976552,0.008976552
0.092064273,0.011101564,0.00053228,0.00053228
0.086544563,0.018997325,0.002212315,0.002212315
0.125175423,0.031399651,0.020319683,0.020319683
0.073451206,0.040586872,3.49159E-05,3.49159E-05
0.046271173,0.001588268,0.000672545,0.000672545
0.103386978,0.018442972,0.001325169,0.001325169
0.112950006,0.014404621,0.006315696,0.006315696
0.113417772,0.03715773,0.000328445,0.000328445
0.108235837,0.007194979,0.010882703,0.010882703
0.109219868,0.01809494,0.013369177,0.013369177
0.080936288,0.007726397,0.002485248,0.002485248
0.074317178,0.022914855,0.005735452,0.005735452
0.116197006,0.0299815,0.001253345,0.001253345
0.198547296,0.033080226,0.002377426,0.002377426
0.164646366,0.014754072,0.021341857,0.021341857
0.139002266,0.023509486,0.00954098,0.00954098
0.146161336,0.030931086,0.02832367,0.02832367
0.129297636,0.019047386,0.004393514,0.004393514
0.125919106,0.026203252,0.004843134,0.004843134
0.126743365,0.055969195,0.002699956,0.002699956
0.133401822,0.073092556,0.008511334,0.008511334
0.152111147,0.011552672,0.023123326,0.023123326
0.076518645,0.002299943,0.013293926,0.013293926
0.002297124,0.019718444,0.002267037,0.002267037
0.010291797,0.00177451,0.012613579,0.012613579
0.024844932,0.033558134,0.004600084,0.004600084
0.044479543,0.022370823,0.002452472,0.002452472
0.054237207,0.008966005,0.007853035,0.007853035
0.041618043,0.011316837,0.00680377,0.00680377
0.056543528,0.004687374,0.004415401,0.004415401
0.077084727,0.006831933,0.002955984,0.002955984
0.074864093,0.01329373,0.000751805,0.000751805
0.092692541,0.015312176,0.002141386,0.002141386
0.076866327,0.033320798,0.000496322,0.000496322
0.098628917,0.022005729,0.008213698,0.008213698
0.150298883,0.040520947,0.017474797,0.017474797
0.153787703,0.041442167,0.017260127,0.017260127
0.165851443,0.02063493,0.009354531,0.009354531
0.142511929,0.003291449,0.001922764,0.001922764
0.102692129,0.031921264,0.000887184,0.000887184
0.107248849,0.026973687,0.007207765,0.007207765
0.128887727,0.004711015,0.002898674,0.002898674
0.13946536,0.005466843,0.000860911,0.000860911
0.194217351,0.019596203,0.011070694,0.011070694
0.152686291,0.002419993,0.015023759,0.015023759
0.14904138,0.006806336,0.006250534,0.006250534
0.12223667,0.010629385,0.00428662,0.00428662
0.11383407,0.011412464,0.00145417,0.00145417
0.14008433,0.002748611,0.001701649,0.001701649
0.17830732,0.004102753,0.0006354,0.0006354
0.083407822,0.000157358,0.010575238,0.010575238
0.064079532,0.018785626,0.008597279,0.008597279
0.064819952,0.004039254,0.018939464,0.018939464
0.063317994,0.006494459,0.027098334,0.027098334
0.067422304,0.009489024,0.01909466,0.01909466
0.074670615,0.009774941,0.020263821,0.020263821
0.074361195,0.011119233,0.02265026,0.02265026
0.062281169,0.009110751,0.019185711,0.019185711
0.063796319,9.03081E-05,0.026038899,0.026038899
0.040172605,0.032959005,0.021491356,0.021491356
0.014984809,0.008921256,0.008216921,0.008216921
0.002294994,0.001673029,0.004066801,0.004066801
0.048408002,0.017678317,0.005706057,0.005706057
0.093122422,0.004606722,0.025070404,0.025070404
0.097369772,0.001427571,0.016005882,0.016005882
0.094789682,0.002714314,0.004543752,0.004543752
0.100336432,0.004195268,0.005362429,0.005362429
0.099013908,0.013404404,0.012762856,0.012762856
0.076606841,0.007818206,0.023108152,0.023108152
0.074720942,0.030631925,0.019359967,0.019359967
0.030949495,0.055487497,0.008089235,0.008089235
0.070902902,0.01888051,0.013281411,0.013281411
0.009898374,0.010375376,0.016946037,0.016946037
0.166802294,0.000218841,0.001522591,0.001522591
0.068211754,0.027918654,0.003879612,0.003879612
0.169803885,0.009446804,0.002693298,0.002693298
0.014982235,0.001532112,0.000931849,0.000931849
0.072306461,0.043000744,0.001553204,0.001553204
0.087447055,0.028278099,0.011739746,0.011739746
0.113357362,0.021896501,0.002207278,0.002207278
0.061556337,0.020434607,0.007003027,0.007003027
0.021585311,0.039750042,0.00378368,0.00378368
0.058192019,0.040407014,0.003887663,0.003887663
0.020768267,0.041686888,0.010750962,0.010750962
0.007539837,0.028027114,0.000299421,0.000299421
0.016631423,0.045760997,0.005686847,0.005686847
0.02897107,0.038004713,0.012682826,0.012682826
0.02023671,0.038004713,0.004558065,0.004558065
0.050574664,0.038004713,0.003571828,0.003571828
0.048261273,0.036259384,0.009536154,0.009536154
0.065371613,0.031409073,0.004396733,0.004396733
0.049670578,0.03597094,0.010936732,0.010936732
0.030234381,0.027957413,0.011408248,0.011408248
0.013451427,0.034514054,0.008894199,0.008894199
0.0442229,0.034514054,0.011163795,0.011163795
0.051235228,0.019404317,0.010706976,0.010706976
0.074340704,0.00967892,0.010060258,0.010060258
0.020726539,0.009718866,0.02262089,0.02262089
0.029841163,0.017358929,0.018981651,0.018981651
0.061826083,0.000848679,0.021575691,0.021575691
0.029824849,0.01302054,0.013139797,0.013139797
0.029597017,0.010019624,0.003614966,0.003614966
0.020926126,0.002309127,0.006011373,0.006011373
0.021543425,0.000340432,0.021384546,0.021384546
0.018389641,0.001579753,0.0032681,0.0032681
0.001989901,0.010215871,0.009380368,0.009380368
0.02401306,0.005530828,0.030327325,0.030327325
0.027543115,0.041495371,0.023453723,0.023453723
0.029928434,0.03359505,0.01721342,0.01721342
0.04148825,0.036259384,0.007859679,0.007859679
0.036495102,0.028804076,0.001103245,0.001103245
0.026097572,0.077878608,0.001514256,0.001514256
0.007750751,0.027190975,0.000982583,0.000982583
0.022914226,0.014350307,0.003299931,0.003299931
0.013417868,0.062466968,0.00140735,0.00140735
0.023823779,0.034409325,0.00058791,0.00058791
0.008220227,0.032768725,0.0113401,0.0113401
0.016343211,0.032768725,0.011714427,0.011714427
0.026509737,0.012811178,0.024859891,0.024859891
0.033595805,0.06826667,0.029289792,0.029289792
0.150658581,0.026582835,0.064385919,0.064385919
0.082978111,0.005842045,0.035984469,0.035984469
0.046517896,0.001587982,0.073315672,0.073315672
0.037118636,0.025026336,0.053910138,0.053910138
0.016142745,0.022637482,0.009828557,0.009828557
0.046404066,0.017194823,0.009250382,0.009250382
0.057652173,0.020362479,0.008719467,0.008719467
0.053730812,0.024703848,0.009003142,0.009003142
0.028806331,0.003098128,0.031687092,0.031687092
0.067232408,0.000468365,0.0065642,0.0065642
0.083257716,0.003200069,0.003375825,0.003375825
0.073845329,0.006586153,0.00635121,0.00635121
0.072989454,0.00570979,0.027113619,0.027113619
0.059807436,0.001793547,0.014247958,0.014247958
0.051601131,0.017455555,0.025423008,0.025423008
0.038056048,0.005257318,0.023895158,0.023895158
0.070192203,0.013990235,0.015892849,0.015892849
0.126279406,0.01783363,0.013571107,0.013571107
0.143010894,0.018138086,0.009944278,0.009944278
0.15285464,0.019662873,0.009011685,0.009011685
0.165571156,0.028758213,0.013631225,0.013631225
0.114890283,0.027997168,0.015674553,0.015674553
0.07006791,0.013763179,0.012566958,0.012566958
0.04906704,0.001990508,0.00424414,0.00424414
0.001544765,0.011580944,0.009412137,0.009412137
0.013416766,0.011007788,0.008602976,0.008602976
0.015280574,0.01315755,0.014536472,0.014536472
0.049133967,0.017257195,0.016324697,0.016324697
0.042150113,0.020069439,0.017010317,0.017010317
0.061178906,0.013540084,0.004207954,0.004207954
0.038964838,0.019997748,0.002572159,0.002572159
0.060383943,0.005921609,0.000931899,0.000931899
0.070800025,0.009690661,0.006300481,0.006300481
0.056781878,0.014299609,0.000695906,0.000695906
0.051904516,0.041167466,0.002515267,0.002515267
0.057066266,0.020936429,0.002319948,0.002319948
0.054270808,0.022741278,0.008377188,0.008377188
0.065505434,0.017659226,0.002043368,0.002043368
0.083603082,0.001914349,0.003384223,0.003384223
0.060889111,0.004782397,0.006484882,0.006484882
0.060339571,0.00618881,0.004875551,0.004875551
0.031730694,0.013540817,0.004176044,0.004176044
0.054881741,0.015459078,0.006678441,0.006678441
0.04342264,0.015435136,0.002130355,0.002130355
0.032621039,0.009260682,0.015417796,0.015417796
0.061297364,0.023877914,0.0116582,0.0116582
0.051206244,0.012045814,0.006914698,0.006914698
0.046761764,0.020018328,0.015206926,0.015206926
0.01604997,0.01182599,0.006709285,0.006709285
0.008829836,0.01110423,0.006946239,0.006946239
0.022122365,0.004997868,0.00096818,0.00096818
0.050219235,0.021945562,0.00105267,0.00105267
0.017171025,0.011507295,0.004420508,0.004420508
0.014579879,0.001420321,0.002269669,0.002269669
0.020473254,0.01633024,0.000663957,0.000663957
0.018534014,0.023354908,0.024334121,0.024334121
0.01663595,0.005870596,0.009251475,0.009251475
0.037961736,0.016797915,0.016493034,0.016493034
0.04960976,0.033860854,0.006761894,0.006761894
0.03256842,0.00152035,0.0140821,0.0140821
0.025382671,0.003505396,0.017483551,0.017483551
0.013827234,0.016006292,0.00418488,0.00418488
0.032023698,0.017827868,0.018507513,0.018507513
0.025081733,0.002514671,0.031357979,0.031357979
0.02329944,0.001941,0.05134694,0.05134694
0.01589413,0.017563994,0.054281244,0.054281244
0.033034081,0.020810689,0.030478777,0.030478777
0.023251772,0.017473124,0.024520666,0.024520666
0.026318269,0.002165251,0.004249861,0.004249861
0.003573127,0.001646102,0.010128953,0.010128953
0.021431072,0.009415928,0.011210903,0.011210903
0.005679712,0.013680578,0.097842817,0.097842817
0.027834552,0.020359048,0.024099152,0.024099152
0.014600904,0.010601056,0.005918898,0.005918898
0.010662155,0.017188165,0.001294195,0.001294195
0.002812223,0.019853723,0.020901657,0.020901657
0.0157076,0.01938152,0.01841265,0.01841265
0.018153996,0.004298974,0.042671386,0.042671386
0.010966102,0.012749308,0.045354562,0.045354562
0.013921127,0.012749043,0.014799953,0.014799953
0.017765133,0.010472193,0.008069203,0.008069203
0.008892775,0.00160937,0.017606455,0.017606455
0.003370932,0.003606402,0.033655812,0.033655812
0.021084678,0.012730332,0.032875892,0.032875892
0.041574977,0.014181441,0.012485093,0.012485093
0.015172843,0.024654313,0.125175602,0.125175602
0.001832414,0.025127704,0.026888433,0.026888433
0.00928998,0.019004266,0.029042494,0.029042494
0.035356882,0.012816762,0.019058788,0.019058788
0.003549096,0.014445924,0.018077816,0.018077816
0.01598052,0.031094234,0.003516272,0.003516272
0.042417202,0.029894912,0.004989668,0.004989668
0.033837532,0.019559602,0.024512668,0.024512668
0.024748817,0.023848332,0.003637578,0.003637578
0.004708422,0.023061942,0.006472888,0.006472888
0.009532212,0.018118667,0.007894133,0.007894133
0.044444348,0.026108128,0.009240742,0.009240742
0.027560629,0.011604129,0.030893754,0.030893754
0.032094089,0.005427363,0.005030911,0.005030911
0.016095136,0.056673786,0.026585604,0.026585604
0.011343376,0.019330014,0.023646951,0.023646951
0.032696695,0.018616335,0.024707415,0.024707415
0.019061944,0.000788594,0.011619996,0.011619996
0.000691009,0.004485499,0.018662521,0.018662521
0.028857508,0.002621603,0.013587157,0.013587157
0.038076492,0.000719323,0.015753852,0.015753852
0.024672861,0.005412491,0.0348864,0.0348864
0.0336301,0.022487374,0.04214338,0.04214338
0.02521809,0.032928314,0.03863504,0.03863504
0.022568691,0.046866361,0.034384661,0.034384661
0.054885092,0.020565467,0.052092807,0.052092807
0.079002002,0.043841026,0.011884748,0.011884748
0.062747297,0.045950321,0.038667831,0.038667831
0.032346323,0.018554063,0.013882633,0.013882633
0.006428029,0.007453125,0.004863079,0.004863079
0.014736807,0.004811487,0.012660947,0.012660947
0.030904906,0.003448334,0.00724674,0.00724674
0.034225024,0.01180135,0.013996654,0.013996654
0.076422467,0.002611623,0.037687983,0.037687983
0.007000877,0.007153943,0.004260848,0.004260848
0.003668734,0.025928042,0.024613006,0.024613006
0.004654537,0.017988287,0.018094627,0.018094627
0.009992103,0.004985787,0.009325132,0.009325132
0.015764943,0.005579092,0.007968557,0.007968557
0.005858903,0.007362077,0.003948927,0.003948927
0.006767815,0.010383065,0.007832499,0.007832499
0.002136869,0.003500629,0.004628619,0.004628619
0.009005841,0.000557379,0.007116699,0.007116699
0.014692081,0.004157499,0.003175599,0.003175599
0.007067957,0.018408887,0.000878507,0.000878507
0.01762903,0.02496641,0.00907141,0.00907141
0.038130548,0.026657058,0.021348628,0.021348628
0.028456338,0.036066908,0.022193088,0.022193088
0.03365702,0.02753044,0.00903264,0.00903264
0.023853932,0.024826572,0.000568672,0.000568672
0.016117433,0.011408703,0.008812913,0.008812913
0.014969287,0.007470652,0.014419907,0.014419907
0.012753697,0.006964877,0.004874627,0.004874627
0.00906731,0.01295221,0.01011081,0.01011081
0.000811963,0.012244134,0.013548822,0.013548822
0.004833003,0.017430167,0.014793483,0.014793483
0.004261203,0.003079283,0.002244603,0.002244603
0.000388892,0.008997498,0.008357112,0.008357112
0.001027641,0.032637221,0.001926281,0.001926281
0.013485984,0.061963344,0.002199984,0.002199984
0.016191764,0.079282684,0.010531814,0.010531814
0.019211629,0.045992009,0.010821709,0.010821709
0.026284672,0.045390632,0.002581992,0.002581992
0.023952993,0.026761013,0.000168813,0.000168813
0.024485398,0.041728008,0.010302232,0.010302232
0.022072838,0.047927118,0.007822122,0.007822122
0.004820625,0.049621835,0.001704055,0.001704055
0.00778863,0.05931868,0.00571773,0.00571773
0.008200942,0.037526262,0.004777212,0.004777212
0.007789371,0.025745391,0.009699691,0.009699691
0.01710954,0.04708548,0.01822809,0.01822809
0.027541326,0.03491901,0.023118475,0.023118475
0.028893488,0.036983368,0.023644958,0.023644958
0.031412728,0.012966608,0.011900478,0.011900478
0.029735553,0.001338212,0.001746767,0.001746767
0.019440427,0.016590488,0.012885337,0.012885337
0.024346191,0.011542659,0.013384834,0.013384834
0.010919681,0.012448885,0.016501174,0.016501174
0.017400348,0.007747512,0.012803652,0.012803652
0.015318701,0.002047729,0.004847914,0.004847914
0.00745445,0.001587175,0.000404075,0.000404075
0.004987763,0.000189953,0.000557997,0.000557997
0.013845524,0.002348994,0.001118866,0.001118866
0.013017946,0.002293626,0.001081076,0.001081076
0.000846346,0.004011174,0.007077176,0.007077176
0.018095449,0.007014901,0.009743119,0.009743119
0.023450264,0.000310846,0.005550324,0.005550324
0.01323055,0.01870287,0.011177086,0.011177086
0.007817879,0.019640251,0.009924733,0.009924733
0.010271999,0.004203906,0.011579374,0.011579374
0.011518854,0.012075654,0.010030849,0.010030849
0.021928727,0.001903921,0.010171055,0.010171055
0.021019375,0.000379761,0.011701351,0.011701351
0.019939958,0.002380182,0.014350608,0.014350608
0.020848573,0.000144887,0.022466451,0.022466451
0.022345094,0.003838074,0.020934284,0.020934284
0.031610064,0.02200725,0.026988684,0.026988684
0.031109034,0.020871674,0.03098052,0.03098052
0.024810562,4.2042E-06,0.019913327,0.019913327
0.024978555,0.005060836,0.019603921,0.019603921
0.020976658,0.006444223,0.013609423,0.013609423
0.018491006,0.00529765,0.006924816,0.006924816
0.028217282,0.026628282,0.007638322,0.007638322
0.028040679,0.006236909,0.001963449,0.001963449
0.021430204,0.005613139,0.004167346,0.004167346
0.019596872,0.009924872,0.012222894,0.012222894
0.020913092,0.002475128,0.002839808,0.002839808
0.019185302,0.003982708,0.006927648,0.006927648
0.014103843,0.005596293,0.013950537,0.013950537
0.01321359,0.006434334,0.018177896,0.018177896
0.017628505,0.008406115,0.017634265,0.017634265
0.007714961,0.003980196,0.014369594,0.014369594
0.007479235,0.015307815,0.015339395,0.015339395
