GT,D,A,E,F
0.001038939,-0.29419953,0.26229928,-0.04230925,-0.339670547
0.003490658,-0.15461914,0.21386709,-0.01150534,-0.309251663
0.003490658,-0.0959871,0.170592046,0.005520926,-0.295453676
0.005235988,0.000755863,0.16449298,0.03145584,-0.27193798
0.006233517,0.0674085,0.218955836,0.027594514,-0.275907696
0.014297467,0.06840338,0.17787614,0.016794045,-0.286454
0.023837439,0.087430134,0.17864258,0.03079709,-0.270000073
0.033161256,0.105663225,0.17785616,0.038871955,-0.262735923
0.032200051,0.023713427,0.202607384,0.047456075,-0.254186175
0.029587549,0.02167389,0.17298354,0.042212468,-0.261131054
0.027925268,0.027758183,0.15974967,0.040461443,-0.261022131
0.027992364,0.08870174,0.1430568,0.041870408,-0.260820725
0.033276625,0.0763137,0.134579754,0.034387782,-0.26921467
0.036611748,0.10070115,0.139121577,0.043607872,-0.262539496
0.033986321,0.13449188,0.138201897,0.03945249,-0.265790141
0.033161256,0.15661307,0.135185305,0.042327356,-0.266053476
0.033161256,0.13711841,0.148658433,0.041707035,-0.262028761
0.031350408,0.08032124,0.098350833,0.052053576,-0.255874415
0.027032645,0.124574676,0.140711441,0.036750293,-0.266740003
0.024395335,0.13294299,0.133016684,0.034579282,-0.271630498
0.016567353,0.1256163,0.122431924,0.025543905,-0.279153549
0.006981317,0.09904559,0.118082881,0.007513597,-0.293916551
0.006981317,0.09352588,0.187983992,0.009193632,-0.291765053
0.006981317,0.13215674,0.175581666,-0.013338366,-0.312244285
0.015707964,0.08915917,0.175121092,0.01574288,-0.28588395
0.019192137,0.06546331,0.220780404,0.019864681,-0.280759474
0.017453292,0.12084027,0.235896264,0.018778462,-0.283745515
0.015707964,0.12865797,0.230112585,0.02202366,-0.282197706
0.016632928,0.1300507,0.179475198,0.016961373,-0.284806866
0.019198623,0.12743446,0.226393602,0.030081325,-0.272106416
0.017453292,0.12667316,0.199358352,0.03082247,-0.271684361
0.017453292,0.09838958,0.22517969,0.01993854,-0.281662273
0.017453292,0.09177047,0.240368147,0.023188744,-0.279697267
0.015707964,0.13190497,0.045689464,0.016961309,-0.286385877
0.015707964,0.21425526,0.04878819,0.01808539,-0.283539354
0.013962634,0.178609,-0.000791438,-0.007379223,-0.30663134
0.015707964,0.15471023,0.03921745,0.025248944,-0.278342351
0.013962634,0.16012397,0.34489372,-0.014361036,-0.311898494
0.013962634,0.14326027,0.33301002,0.018356148,-0.283442065
0.013962634,0.13988174,0.340165886,0.018805768,-0.282337289
0.012217305,0.13896067,0.3681865,0.014917261,-0.285592614
0.010602908,0.14400473,0.383695464,0.019114242,-0.282852899
0.011216483,0.16332763,0.299663811,-0.011906843,-0.31064404
0.012217305,0.08873595,0.314517247,0.025511231,-0.275583599
